key	page	prod_on	value	matrix_state	verdict	owner	patch_source	apply_sites	revert_sites	patch_bytes	cfg_field	n_consumers	target_vas
人物爆率调整	盘古3	0	0	IMPLEMENTED	NATIVE_OK		g11-immediate	0	0	0	0x828	0	
人物等级1_值	盘古3	1	40	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x86c	0	
人物等级2_值	盘古3	1	45	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x870	0	
人物等级3_值	盘古3	1	48	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x874	0	
伤害触发脚本_plus	眼神2(第2页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x520	1	
修复刺杀位麻痹	盘古1	1	1	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x754	0	
修复卡防御	盘古1	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	1	0x758	0	0x767910
修改召唤神兽	盘古3	1	1	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x858	0	
免毒符	配置2	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	12	12	42	0x4e0	0	0x6ed945 0x6ed9d1 0x6ed9eb 0x6eda85 0x6edab1 0x6edadf 0x6edb11 0x6edb3e 0x6edb65 0x6edb8c 0x6edc58 0x6ede1d
全局循环函数	眼神2(第2页)	1	1	SCRIPT_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x950	0	
全屏吸怪	眼神2(第1页)	0	0	SCRIPT_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x50c	0	
全屏拾取	配置1	1	1	SCRIPT_ONLY	NATIVE_GAP		label-atlas	4	4	36	?	0	0x6b795c 0x6b796b 0x6b7a25 0x6b7a2f
全服击杀提示	盘古1	1	1	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x72c	0	
关闭摆摊	盘古1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	1	0x774	0	0x6e7c38
冰咆哮主属性切换	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	2	2	28	0x4c8	0	0x76f2cb
冰咆哮切割	眼神2(第1页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x688	1	
冰咆哮固定增伤	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x67c	0	
冰咆哮范围	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	9	0x4cc	0	0x76f300
刀刀切割	配置1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	6	?	0	0x767bae
切换暴击报文	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x864	0	
删除技能不提示	配置2	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	5	0x4f4	0	0x6c7797
删除英雄技能	盘古2	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x7a4	1	
刺杀剑术	盘古2	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	1	0	2	0x7f0	0	0x771c25
刺杀剑术_A值	盘古2	1	"1"	IMPLEMENTED	PARAM_OF_PATCHED	刺杀剑术	-	0	0	0	0x9d8	0	
刺杀剑术_B值	盘古2	1	"5"	IMPLEMENTED	PARAM_OF_PATCHED	刺杀剑术	-	0	0	0	0xa50	0	
千分比免伤	配置1	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x104	0	
千分比经验倍数	眼神2(第2页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x540	2	
升级技能不提示	配置2	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	6	0x4f8	0	0x73f5ee
半月带毒	盘古2	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	6	0x7c4	0	0x7720fb
半月弯刀	盘古2	1	1	IMPLEMENTED	NATIVE_OK		g11-immediate	0	0	0	0x7f4	0	
半月弯刀_A值	盘古2	1	"2"	IMPLEMENTED	PARAM_OF_PATCHED	半月弯刀	-	0	0	0	0x9f0	0	
半月弯刀_B值	盘古2	1	"15"	IMPLEMENTED	PARAM_OF_PATCHED	半月弯刀	-	0	0	0	0xa68	0	
双毒时间_最低	配置2	1	5	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x924	0	
召唤神兽	盘古1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	2	2	5	0x720	0	0x76ee99 0x76eeec
召唤神兽触发	盘古1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x798	0	0x6edc5e
召唤骷髅	盘古1	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	1	0x724	0	0x76ee1f
召唤骷髅_数量	盘古1	1	1	LABEL_ONLY	PARAM_OF_PATCHED	召唤骷髅	-	0	0	0	0xcfc	0	
召唤骷髅触发	盘古1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x794	0	0x6edb44
名字变色	盘古2	1	1	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x500	2	
嗜血术倍数	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	6	0x4d8	0	0x76fc2b
嗜血术范围	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x808	0	
噬魂沼泽绿毒修复	盘古2	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	6	0x7b4	0	0x691e2e
回城按钮触发	盘古1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x780	0	0x6dbb80
土城摆摊	盘古1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	3	3	20	0x714	0	0x6e7930 0x6e7c1c 0x6e7c5f
地狱雷光可换主属性	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	14	0x4a8	0	0x76f5fb
地狱雷光系数	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x498	0	0x76f61a
地狱雷光范围	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	9	0x49c	0	0x76f63d
地面物品消失时间	盘古1	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	4	0x75c	0	0x77a3ff
地面物品消失时间_时间	盘古1	1	150	IMPLEMENTED	PARAM_OF_PATCHED	地面物品消失时间	-	0	0	0	0xd00	0	
基本剑术	盘古2	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	2	0	9	0x800	0	0x76af96 0x76afa9
基本剑术_n值	盘古2	1	"3"	IMPLEMENTED	PARAM_OF_PATCHED	基本剑术	-	0	0	0	0xa38	0	
复活戒指改cd	配置1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	3	3	16	?	0	0x73c47a 0x73c4f2 0x743751
复活戒指概率	配置1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	7	?	0	0x74373a
复活戒指重设	盘古2	0	0	IMPLEMENTED	NATIVE_OK		g11-immediate	0	0	0	0x7cc	0	
复活戒指重设_无敌时间	盘古2	0	0	IMPLEMENTED	PARAM_OF_PATCHED	复活戒指重设	-	0	0	0	0x8f4	0	
复活戒指重设_重设时间	盘古2	0	0	IMPLEMENTED	PARAM_OF_PATCHED	复活戒指重设	-	0	0	0	0x8f0	0	
复活触发脚本	配置1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	6	?	0	0x73c484
多元伤害	扩展/技能相关	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x114	0	
大背包	扩展/物品相关	0	0	SCRIPT_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x674	0	
头盔属性几率_准确_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1360	0	0x7612d2
头盔属性几率_攻击_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1240	0	0x761237
头盔属性几率_攻速_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1318	0	0x7612af
头盔属性几率_道术_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x12d0	0	0x76128c
头盔属性几率_魔法_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1288	0	0x761269
头盔最随机性_极品_值	盘古4	1	"80"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1378	0	0x7611fb
头盔最高点数_准确_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1330	0	0x7612c6
头盔最高点数_攻击_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1210	0	0x76122b
头盔最高点数_攻速_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x12e8	0	0x7612a3
头盔最高点数_道术_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x12a0	0	0x761280
头盔最高点数_魔法_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1258	0	0x76125d
头盔点数几率_准确_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1348	0	0x7612c1
头盔点数几率_攻击_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1228	0	0x761226
头盔点数几率_攻速_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1300	0	0x76129e
头盔点数几率_道术_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x12b8	0	0x76127b
头盔点数几率_魔法_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1270	0	0x761258
安全区禁止丢物	盘古1	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	6	0x738	0	0x73cc98
宝宝叛变属性a	扩展/角色相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6d0	1	
宝宝自动叛变	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x6a0	0	
宠物吸血a	扩展/角色相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6d8	1	
屏蔽元宝增减信息	盘古1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	8	8	30	0x76c	0	0x6f8288 0x6f82c5 0x6f8b25 0x6f8b62 0x6f8bcf 0x6f8c02 0x6f9002 0x6f9047
屏蔽元宝数据库日志	盘古1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	1	0x948	0	0x70f6dc
屏蔽发言频繁禁言功能	盘古1	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	2	2	12	0x768	0	0x6bb56a 0x6bb579
屏蔽属性提升提示	盘古1	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	31	31	215	0x764	0	0x741a21 0x741a5c 0x741a97 0x741ad2 0x741b0d 0x741b48 0x741b83 0x741bbe 0x741bf9 0x741c34 0x741c6f 0x741caa 0x741ce5 0x741d20 0x741d5b 0x741dfd 0x74281d 0x742835 0x74284d 0x742865 0x74287d 0x742895 0x7428ad 0x7428c5 0x7428dd 0x74290d 0x742925 0x74293d 0x742955 0x74296d 0x74298c
屏蔽排行榜	盘古3	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	1	0x81c	0	0x6cba88
屏蔽自动绑定	盘古4	1	1	SCRIPT_ONLY	NATIVE_GAP		label-atlas	4	4	4	0x830	0	0x74dc57 0x74dd59 0x74ddc3 0x74ddef
循环时间_值	眼神2(第2页)	1	2000	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x938	0	
心灵启示触发	盘古1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x79c	0	0x6edc2b
怪物名字1_值	盘古3	1	"强化神兽"	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x878	0	
怪物名字2_值	盘古3	1	"强化神兽"	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x890	0	
怪物名字3_值	盘古3	1	"白虎"	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x8a8	0	
怪物数量1_值	盘古3	1	1	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x8c0	0	
怪物数量2_值	盘古3	1	2	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x8c4	0	
怪物数量3_值	盘古3	1	1	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x8c8	0	
怪物爆率A_值	眼神2(第2页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x92c	0	
怪物爆率B_值	眼神2(第2页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x930	0	
怪物爆率K_值	眼神2(第2页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x934	0	
戒指属性几率_准确_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x17e0	0	0x761dba
戒指属性几率_攻击_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x16c0	0	0x761d2e
戒指属性几率_攻速_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1798	0	0x761d97
戒指属性几率_道术_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1750	0	0x761d74
戒指属性几率_魔法_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1708	0	0x761d51
戒指最随机性_极品_值	盘古4	1	"80"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x17f8	0	0x761cf0
戒指最高点数_准确_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x17b0	0	0x761dae
戒指最高点数_攻击_值	盘古4	0	""	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1690	0	0x761d22
戒指最高点数_攻速_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1768	0	0x761d8b
戒指最高点数_道术_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1720	0	0x761d68
戒指最高点数_魔法_值	盘古4	0	""	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x16d8	0	0x761d45
戒指点数几率_准确_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x17c8	0	0x761da9
戒指点数几率_攻击_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x16a8	0	0x761d1d
戒指点数几率_攻速_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1780	0	0x761d86
戒指点数几率_道术_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1738	0	0x761d63
戒指点数几率_魔法_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x16f0	0	0x761d40
战士合击	盘古3	1	1	LABEL_ONLY	NATIVE_GAP		g11-immediate	0	0	0	0x814	0	
战士合击_数值1	盘古3	1	"1.5"	LABEL_ONLY	PARAM_OF_PATCHED	战士合击	-	0	0	0	0xb10	0	
战士合击_数值2	盘古3	1	"2"	LABEL_ONLY	PARAM_OF_PATCHED	战士合击	-	0	0	0	0xb28	0	
战士合击_数值3	盘古3	1	"2.4"	LABEL_ONLY	PARAM_OF_PATCHED	战士合击	-	0	0	0	0xb40	0	
战士合击_数值4	盘古3	1	"2.6"	LABEL_ONLY	PARAM_OF_PATCHED	战士合击	-	0	0	0	0xb58	0	
战士合击_数值5	盘古3	1	"2.8"	LABEL_ONLY	PARAM_OF_PATCHED	战士合击	-	0	0	0	0xb70	0	
战队职业限制	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x84c	0	
手镯属性几率_准确_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1660	0	0x7626b2
手镯属性几率_攻击_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1540	0	0x762626
手镯属性几率_攻速_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1618	0	0x76268f
手镯属性几率_道术_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x15d0	0	0x76266c
手镯属性几率_魔法_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1588	0	0x762649
手镯最随机性_极品_值	盘古4	1	"80"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1678	0	0x7625e8
手镯最高点数_准确_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1630	0	0x7626a6
手镯最高点数_攻击_值	盘古4	0	""	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1510	0	0x76261a
手镯最高点数_攻速_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x15e8	0	0x762683
手镯最高点数_道术_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x15a0	0	0x762660
手镯最高点数_魔法_值	盘古4	0	""	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1558	0	0x76263d
手镯点数几率_准确_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1648	0	0x7626a1
手镯点数几率_攻击_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1528	0	0x762615
手镯点数几率_攻速_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1600	0	0x76267e
手镯点数几率_道术_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x15b8	0	0x76265b
手镯点数几率_魔法_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1570	0	0x762638
技能等级突破	眼神2(第1页)	1	1	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x69c	0	
技能等级突破_最大值	眼神2(第1页)	1	255	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x6a8	0	
技能触发脚本	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x508	0	
投保报文	扩展/物品相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6f8	1	
护身触发报文a	扩展/脚本相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6bc	1	
护身触发概率a	扩展/脚本相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6b8	1	
指定地图编号摆摊	盘古1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	4	3	16	0x770	0	0x6e7930 0x6e7934 0x6e7c1c 0x6e7c5f
挖矿触发	盘古1	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x790	0	0x6ec111
捡物触发	配置1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x09c	0	0x6b770c
摆摊地图	盘古1	1	"3"	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x6fc	0	
摆摊穿人	盘古1	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	3	0x718	0	0x77931d
攻击反伤	配置1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	5	0x098	0	0x767bb4
攻击吸血	眼神2(第2页)	0	0	IMPLEMENTED	PLUGIN_SIDE_ONLY		-	0	0	0	0x124	2	
攻击触发	配置1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x0ac	0	0x76e35d
攻城修改	盘古2	1	1	LABEL_ONLY	NATIVE_GAP		g11-immediate	0	0	0	0x7c8	0	
攻城修改_分钟	盘古2	0	0	LABEL_ONLY	PARAM_OF_PATCHED	攻城修改	-	0	0	0	0x8e8	0	
攻城修改_天数	盘古2	1	3	LABEL_ONLY	PARAM_OF_PATCHED	攻城修改	-	0	0	0	0x8e0	0	
攻城修改_小时	盘古2	1	20	LABEL_ONLY	PARAM_OF_PATCHED	攻城修改	-	0	0	0	0x8e4	0	
攻城时长_分钟	盘古2	1	120	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x8ec	0	
攻杀剑术	盘古2	1	1	IMPLEMENTED	NATIVE_OK		g11-immediate	0	0	0	0x7ec	0	
攻杀剑术_A值	盘古2	1	"5"	IMPLEMENTED	PARAM_OF_PATCHED	攻杀剑术	-	0	0	0	0x9c0	0	
攻沙脚本控制	盘古1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	3	3	10	0x728	0	0x65c6b6 0x65c76d 0x65c785
新倍攻和暴击	配置1	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x0c4	0	0x76c88b
新呼唤宝宝	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x6a4	0	
新怪物爆率	眼神2(第2页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x93c	0	
新穿戴触发	配置1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	2	2	12	0x0b4	0	0x75ea37 0x75f085
施毒术	盘古3	1	1	SCRIPT_ONLY	NATIVE_GAP		label-atlas	1	0	31	0x80c	0	0x76e599
施毒术_公式值	盘古3	1	"10"	LABEL_ONLY	PARAM_OF_PATCHED	施毒术	-	0	0	0	0xab0	0	
无极真气	盘古3	1	1	LABEL_ONLY	NATIVE_GAP		g11-immediate	0	0	0	0x804	0	
无极真气_A值	盘古3	1	"10"	LABEL_ONLY	PARAM_OF_PATCHED	无极真气	-	0	0	0	0xae0	0	
无极真气_时间	盘古3	1	"10"	LABEL_ONLY	PARAM_OF_PATCHED	无极真气	-	0	0	0	0xaf8	0	
星耀专属切割a	扩展/技能相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6e8	1	
星耀倍功与暴击a	扩展/脚本相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6ec	1	
星耀攻击反伤a	扩展/技能相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6f0	1	
最大装备数量	盘古3	0	""	IMPLEMENTED	EQUIVALENT_BY_ABSENCE		-	0	0	0	0xcd8	0	
格位刺杀免伤a	扩展/脚本相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6c8	1	
概率格挡a	扩展/技能相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6cc	1	
武器属性几率_准确_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1060	0	0x7609d8
武器属性几率_攻击_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0xf40	0	0x760920
武器属性几率_攻速_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1018	0	0x76098f
武器属性几率_道术_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0xfd0	0	0x76096a
武器属性几率_魔法_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0xf88	0	0x760945
武器最随机性_极品_值	盘古4	1	"80"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1078	0	0x7608f0
武器最高点数_准确_值	盘古4	1	"7"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1030	0	0x7609cc
武器最高点数_攻击_值	盘古4	0	""	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0xf10	0	0x760914
武器最高点数_攻速_值	盘古4	1	"7"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0xfe8	0	0x760983
武器最高点数_道术_值	盘古4	1	"7"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0xfa0	0	0x76095e
武器最高点数_魔法_值	盘古4	1	"7"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0xf58	0	0x760939
武器点数几率_准确_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1048	0	0x7609c7
武器点数几率_攻击_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0xf28	0	0x76090f
