key	prod_value	sing_off	host_va	cache_off	apply_site	host_insn
衣服最随机性_极品_值	80	0x11f8	0x7639f3	0x368	0x100c125c	0x7639f2 B8 0A 00 00 00 mov eax, 0xa
头盔最高点数_攻击_值	10	0x1210	0x76122b	0x36c	0x100c130c	0x76122a B8 06 00 00 00 mov eax, 6
头盔点数几率_攻击_值	5	0x1228	0x761226	0x370	0x100c13bc	0x761225 BA 14 00 00 00 mov edx, 0x14
头盔属性几率_攻击_值	10	0x1240	0x761237	0x374	0x100c146c	0x761236 B8 14 00 00 00 mov eax, 0x14
头盔最高点数_魔法_值	10	0x1258	0x76125d	0x378	0x100c151c	0x76125c B8 06 00 00 00 mov eax, 6
头盔点数几率_魔法_值	5	0x1270	0x761258	0x37c	0x100c15cc	0x761257 BA 14 00 00 00 mov edx, 0x14
头盔属性几率_魔法_值	10	0x1288	0x761269	0x380	0x100c167c	0x761268 B8 14 00 00 00 mov eax, 0x14
头盔最高点数_道术_值	10	0x12a0	0x761280	0x384	0x100c172c	0x76127f B8 06 00 00 00 mov eax, 6
头盔点数几率_道术_值	5	0x12b8	0x76127b	0x388	0x100c17dc	0x76127a BA 14 00 00 00 mov edx, 0x14
头盔属性几率_道术_值	10	0x12d0	0x76128c	0x38c	0x100c188c	0x76128b B8 1E 00 00 00 mov eax, 0x1e
头盔最高点数_攻速_值	10	0x12e8	0x7612a3	0x390	0x100c193c	0x7612a2 B8 06 00 00 00 mov eax, 6
头盔点数几率_攻速_值	5	0x1300	0x76129e	0x394	0x100c19ec	0x76129d BA 14 00 00 00 mov edx, 0x14
头盔属性几率_攻速_值	10	0x1318	0x7612af	0x398	0x100c1a9c	0x7612ae B8 1E 00 00 00 mov eax, 0x1e
头盔最高点数_准确_值	10	0x1330	0x7612c6	0x39c	0x100c1b4c	0x7612c5 B8 06 00 00 00 mov eax, 6
头盔点数几率_准确_值	5	0x1348	0x7612c1	0x3a0	0x100c1bfc	0x7612c0 BA 14 00 00 00 mov edx, 0x14
头盔属性几率_准确_值	10	0x1360	0x7612d2	0x3a4	0x100c1cac	0x7612d1 B8 1E 00 00 00 mov eax, 0x1e
头盔最随机性_极品_值	80	0x1378	0x7611fb	0x3a8	0x100c1d5c	0x7611fa B8 0A 00 00 00 mov eax, 0xa
项链最高点数_攻击_值	3	0x1390	0x7617d6	0x3ac	0x100c1e0c	0x7617d5 B8 06 00 00 00 mov eax, 6
项链点数几率_攻击_值	10	0x13a8	0x7617d1	0x3b0	0x100c1ebc	0x7617d0 BA 14 00 00 00 mov edx, 0x14
项链属性几率_攻击_值	10	0x13c0	0x7617e2	0x3b4	0x100c1f6c	0x7617e1 B8 28 00 00 00 mov eax, 0x28
项链最高点数_魔法_值	2	0x13d8	0x7617f9	0x3b8	0x100c201c	0x7617f8 B8 06 00 00 00 mov eax, 6
项链点数几率_魔法_值	10	0x13f0	0x7617f4	0x3bc	0x100c20cc	0x7617f3 BA 14 00 00 00 mov edx, 0x14
项链属性几率_魔法_值	10	0x1408	0x761805	0x3c0	0x100c217c	0x761804 B8 28 00 00 00 mov eax, 0x28
项链最高点数_道术_值	10	0x1420	0x76181c	0x3c4	0x100c222c	0x76181b B8 06 00 00 00 mov eax, 6
项链点数几率_道术_值	5	0x1438	0x761817	0x3c8	0x100c22dc	0x761816 BA 14 00 00 00 mov edx, 0x14
项链属性几率_道术_值	10	0x1450	0x761828	0x3cc	0x100c238c	0x761827 B8 1E 00 00 00 mov eax, 0x1e
项链最高点数_攻速_值	10	0x1468	0x76183f	0x3d0	0x100c243c	0x76183e B8 06 00 00 00 mov eax, 6
项链点数几率_攻速_值	5	0x1480	0x76183a	0x3d4	0x100c24ec	0x761839 BA 14 00 00 00 mov edx, 0x14
项链属性几率_攻速_值	10	0x1498	0x76184b	0x3d8	0x100c259c	0x76184a B8 1E 00 00 00 mov eax, 0x1e
项链最高点数_准确_值	10	0x14b0	0x761862	0x3dc	0x100c264c	0x761861 B8 06 00 00 00 mov eax, 6
项链点数几率_准确_值	5	0x14c8	0x76185d	0x3e0	0x100c26fc	0x76185c BA 14 00 00 00 mov edx, 0x14
项链属性几率_准确_值	10	0x14e0	0x76186e	0x3e4	0x100c27ac	0x76186d B8 1E 00 00 00 mov eax, 0x1e
项链最随机性_极品_值	80	0x14f8	0x7617a3	0x3e8	0x100c285c	0x7617a2 B8 0A 00 00 00 mov eax, 0xa
手镯最高点数_攻击_值		0x1510	0x76261a	0x3ec	0x100c290c	0x762619 B8 06 00 00 00 mov eax, 6
手镯点数几率_攻击_值	5	0x1528	0x762615	0x3f0	0x100c29bc	0x762614 BA 14 00 00 00 mov edx, 0x14
手镯属性几率_攻击_值	10	0x1540	0x762626	0x3f4	0x100c2a6c	0x762625 B8 14 00 00 00 mov eax, 0x14
手镯最高点数_魔法_值		0x1558	0x76263d	0x3f8	0x100c2b1c	0x76263c B8 06 00 00 00 mov eax, 6
手镯点数几率_魔法_值	5	0x1570	0x762638	0x3fc	0x100c2bcc	0x762637 BA 14 00 00 00 mov edx, 0x14
手镯属性几率_魔法_值	10	0x1588	0x762649	0x400	0x100c2c7c	0x762648 B8 14 00 00 00 mov eax, 0x14
手镯最高点数_道术_值	10	0x15a0	0x762660	0x404	0x100c2d2c	0x76265f B8 06 00 00 00 mov eax, 6
手镯点数几率_道术_值	5	0x15b8	0x76265b	0x408	0x100c2ddc	0x76265a BA 14 00 00 00 mov edx, 0x14
手镯属性几率_道术_值	10	0x15d0	0x76266c	0x40c	0x100c2e8c	0x76266b B8 1E 00 00 00 mov eax, 0x1e
手镯最高点数_攻速_值	10	0x15e8	0x762683	0x410	0x100c2f3c	0x762682 B8 06 00 00 00 mov eax, 6
手镯点数几率_攻速_值	5	0x1600	0x76267e	0x414	0x100c2fec	0x76267d BA 14 00 00 00 mov edx, 0x14
手镯属性几率_攻速_值	10	0x1618	0x76268f	0x418	0x100c309c	0x76268e B8 1E 00 00 00 mov eax, 0x1e
手镯最高点数_准确_值	10	0x1630	0x7626a6	0x41c	0x100c314c	0x7626a5 B8 06 00 00 00 mov eax, 6
手镯点数几率_准确_值	5	0x1648	0x7626a1	0x420	0x100c31fc	0x7626a0 BA 14 00 00 00 mov edx, 0x14
手镯属性几率_准确_值	10	0x1660	0x7626b2	0x424	0x100c32ac	0x7626b1 B8 1E 00 00 00 mov eax, 0x1e
手镯最随机性_极品_值	80	0x1678	0x7625e8	0x428	0x100c335c	0x7625e7 B8 0A 00 00 00 mov eax, 0xa
戒指最高点数_攻击_值		0x1690	0x761d22	0x42c	0x100c340c	0x761d21 B8 06 00 00 00 mov eax, 6
戒指点数几率_攻击_值	5	0x16a8	0x761d1d	0x430	0x100c34bc	0x761d1c BA 14 00 00 00 mov edx, 0x14
戒指属性几率_攻击_值	10	0x16c0	0x761d2e	0x434	0x100c356c	0x761d2d B8 14 00 00 00 mov eax, 0x14
戒指最高点数_魔法_值		0x16d8	0x761d45	0x438	0x100c361c	0x761d44 B8 06 00 00 00 mov eax, 6
戒指点数几率_魔法_值	5	0x16f0	0x761d40	0x43c	0x100c36cc	0x761d3f BA 14 00 00 00 mov edx, 0x14
戒指属性几率_魔法_值	10	0x1708	0x761d51	0x440	0x100c377c	0x761d50 B8 14 00 00 00 mov eax, 0x14
戒指最高点数_道术_值	10	0x1720	0x761d68	0x444	0x100c382c	0x761d67 B8 06 00 00 00 mov eax, 6
戒指点数几率_道术_值	5	0x1738	0x761d63	0x448	0x100c38dc	0x761d62 BA 14 00 00 00 mov edx, 0x14
戒指属性几率_道术_值	10	0x1750	0x761d74	0x44c	0x100c398c	0x761d73 B8 1E 00 00 00 mov eax, 0x1e
戒指最高点数_攻速_值	10	0x1768	0x761d8b	0x450	0x100c3a3c	0x761d8a B8 06 00 00 00 mov eax, 6
戒指点数几率_攻速_值	5	0x1780	0x761d86	0x454	0x100c3aec	0x761d85 BA 14 00 00 00 mov edx, 0x14
戒指属性几率_攻速_值	10	0x1798	0x761d97	0x458	0x100c3b9c	0x761d96 B8 1E 00 00 00 mov eax, 0x1e
戒指最高点数_准确_值	10	0x17b0	0x761dae	0x45c	0x100c3c4c	0x761dad B8 06 00 00 00 mov eax, 6
戒指点数几率_准确_值	5	0x17c8	0x761da9	0x460	0x100c3cfc	0x761da8 BA 14 00 00 00 mov edx, 0x14
戒指属性几率_准确_值	10	0x17e0	0x761dba	0x464	0x100c3dac	0x761db9 B8 1E 00 00 00 mov eax, 0x1e
戒指最随机性_极品_值	80	0x17f8	0x761cf0	0x468	0x100c3e5c	0x761cef B8 09 00 00 00 mov eax, 9
