label	sites	installer_vas	kinds	m2server_target_vas
召唤骷髅触发	2	0x100ae2f6 0x100ae438	memcpy tramp2	0x6edb44 0x6edb49
嗜血术倍数	2	0x100da50d 0x100da5c9	memcpy tramp1	0x76fc2b 0x76fc31
噬魂沼泽绿毒修复	2	0x100b2468 0x100b2516	memcpy tramp2	0x691e2e
回城按钮触发	2	0x100ad628 0x100ad768	memcpy tramp2	0x6dbb80 0x6dbb85
土城摆摊	6	0x100a981e 0x100a9858 0x100a9895 0x100a994b 0x100a9985 0x100a99c2	memcpy	0x6e7930 0x6e7c1c 0x6e7c5f
地狱雷光可换主属性	2	0x100d908c 0x100d9164	memcpy tramp1	0x76f5fb 0x76f609
地狱雷光系数	2	0x100d8a3d 0x100d8ae8	memcpy tramp1	0x76f61a
地狱雷光范围	2	0x100d8cde 0x100d8da0	memcpy tramp1	0x76f63d
地面物品消失时间	2	0x100ab009 0x100ab090	memcpy	0x77a3ff
基本剑术	2	0x100b49d9 0x100b4a10	memcpy	0x76af96 0x76afa9
复活戒指改cd	6	0x100d2256 0x100d22a5 0x100d22f4 0x100d23bf 0x100d23fd 0x100d243b	memcpy tramp1	0x73c47a 0x73c47f 0x73c4f2 0x743751 0x743756
复活戒指概率	2	0x100d25d0 0x100d2684	memcpy tramp1	0x74373a
复活触发脚本	2	0x100d1de6 0x100d1f0d	memcpy tramp1	0x73c484
安全区禁止丢物	2	0x100aa479 0x100aa52d	memcpy tramp2	0x73cc98 0x73cc9e
屏蔽元宝增减信息	16	0x100ac889 0x100ac8c3 0x100ac8fd 0x100ac937 0x100ac974 0x100ac9b1 0x100ac9ee 0x100aca2b 0x100acb2d 0x100acb67 0x100acba1 0x100acbd8 0x100acc15 0x100acc52 0x100acc8f 0x100acccc	memcpy	0x6f8288 0x6f82c5 0x6f8b25 0x6f8b62 0x6f8bcf 0x6f8c02 0x6f9002 0x6f9047
屏蔽元宝数据库日志	2	0x100acd37 0x100acdbb	memcpy	0x70f6dc
屏蔽发言频繁禁言功能	4	0x100ac678 0x100ac6b2 0x100ac75d 0x100ac797	memcpy	0x6bb56a 0x6bb579
屏蔽属性提升提示	62	0x100ab4ac 0x100ab4e6 0x100ab523 0x100ab560 0x100ab59d 0x100ab5da 0x100ab617 0x100ab654 0x100ab691 0x100ab6ce 0x100ab70b 0x100ab748 0x100ab785 0x100ab7c2 0x100ab7ff 0x100ab83c 0x100ab879 0x100ab8b6 0x100ab8f3 0x100ab930 0x100ab96d 0x100ab9aa 0x100ab9e7 0x100aba24 0x100aba61 0x100aba9e 0x100abadb 0x100abb15 0x100abb4f 0x100abb89 0x100abbc6 0x100abed8 0x100abf12 0x100abf4c 0x100abf86 0x100abfc3 0x100ac000 0x100ac03d 0x100ac07a 0x100ac0b7 0x100ac0f4 0x100ac131 0x100ac16b 0x100ac1a5 0x100ac1df 0x100ac219 0x100ac253 0x100ac290 0x100ac2cd 0x100ac30a 0x100ac347 0x100ac384 0x100ac3c1 0x100ac3fe 0x100ac43b 0x100ac478 0x100ac4b5 0x100ac4f2 0x100ac52f 0x100ac56c 0x100ac5a9 0x100ac5e6	memcpy	0x741a21 0x741a5c 0x741a97 0x741ad2 0x741b0d 0x741b48 0x741b83 0x741bbe 0x741bf9 0x741c34 0x741c6f 0x741caa 0x741ce5 0x741d20 0x741d5b 0x741dfd 0x74281d 0x742835 0x74284d 0x742865 0x74287d 0x742895 0x7428ad 0x7428c5 0x7428dd 0x74290d 0x742925 0x74293d 0x742955 0x74296d 0x74298c
屏蔽排行榜	2	0x100b91a8 0x100b9226	memcpy	0x6cba88
屏蔽自动绑定	8	0x100bf540 0x100bf56e 0x100bf59c 0x100bf5ca 0x100bf644 0x100bf672 0x100bf6a0 0x100bf6ce	memcpy	0x74dc57 0x74dd59 0x74ddc3 0x74ddef
心灵启示触发	2	0x100ae7f5 0x100ae93d	memcpy tramp2	0x6edc2b
指定地图编号摆摊	7	0x100acec7 0x100acf06 0x100acf40 0x100acf7a 0x100ad04b 0x100ad085 0x100ad0bf	memcpy	0x6e7930 0x6e7934 0x6e7c1c 0x6e7c5f
挖矿触发	2	0x100ae0e1 0x100ae20f	memcpy tramp2	0x6ec111
捡物触发	2	0x100d2ba2 0x100d2cd4	memcpy tramp1	0x6b770c 0x6b7711
摆摊穿人	2	0x100a9a3a 0x100a9ac7	memcpy	0x77931d
攻击反伤	2	0x100d2a71 0x100d2b26	memcpy tramp1	0x767bb4 0x767bb9
攻击触发	2	0x100d2d50 0x100d2e7f	memcpy tramp1	0x76e35d 0x76e362
攻沙脚本控制	6	0x100aa19a 0x100aa1d4 0x100aa211 0x100aa26b 0x100aa2a5 0x100aa2e2	memcpy	0x65c6b6 0x65c76d 0x65c785
新倍攻和暴击	2	0x100d3bc4 0x100d3cec	memcpy tramp1	0x76c88b 0x76c890
新穿戴触发	4	0x100d3509 0x100d355b 0x100d371c 0x100d375a	memcpy tramp1	0x75ea37 0x75ea3c 0x75f085
施毒术	1	0x100b8581	memcpy	0x76e599
武器绿毒	2	0x100b2199 0x100b224e	memcpy tramp2	0x76e2bc
死亡触发	2	0x100ad427 0x100ad555	memcpy tramp2	0x6c09b5
永久属性	24	0x100d120a 0x100d125c 0x100d12ae 0x100d1300 0x100d1352 0x100d13a4 0x100d13f6 0x100d1448 0x100d149a 0x100d14ec 0x100d153e 0x100d1590 0x100d1768 0x100d17a9 0x100d17ea 0x100d182b 0x100d186c 0x100d18ad 0x100d18ee 0x100d192f 0x100d1970 0x100d19b1 0x100d19f2 0x100d1a33	memcpy tramp1	0x73d9cf 0x73d9d7 0x73d9e0 0x73d9e9 0x73d9f2 0x73d9fb 0x73da04 0x73da0d 0x73da16 0x73da1f 0x73da28 0x73da31 0x73da3a 0x73da43
永久攻速	2	0x100d5c12 0x100d5cdd	memcpy tramp1	0x73d9a0
法师群毒	2	0x100b2959 0x100b2a07	memcpy tramp2	0x76e1a9
激光命中概率	2	0x100d95ba 0x100d9665	memcpy tramp1	0x76ea14
激光电影可换主属性	2	0x100d91d3 0x100d92ab	memcpy tramp1	0x76e9b5 0x76e9c3
激光范围及系数	2	0x100d931a 0x100d93d6	memcpy tramp1	0x76ea07 0x76ea0d
火墙设置时间上限	2	0x100b39b3 0x100b3a61	memcpy tramp2	0x7706b6 0x7706bc
火球主属性切换	2	0x100d96d4 0x100d97ac	memcpy tramp1	0x76e3e6 0x76e3f4
火球自定义范围	2	0x100d9974 0x100d9a36	memcpy tramp1	0x76e425
火雨主属切换	2	0x100da362 0x100da43a	memcpy tramp1	0x76f365 0x76f373
烈火剑法	2	0x100b45a3 0x100b45da	memcpy	0x76b0ec 0x77231d
爆裂火焰可换主属性	2	0x100d8e0f 0x100d8ee7	memcpy tramp1	0x76f23b 0x76f249
爆裂火焰范围及系数	2	0x100d8f56 0x100d901d	memcpy tramp1	0x76f26b 0x76f272
物功带毒	2	0x100b26d5 0x100b278a	memcpy tramp2	0x76e2bc
特殊宝宝	4	0x100d4f10 0x100d4f62 0x100d503d 0x100d507e	memcpy tramp1	0x7671a2 0x76de42 0x76de4c
特殊属性	4	0x100d1b56 0x100d1ba8 0x100d1c6c 0x100d1cad	memcpy tramp1	0x6e41bd 0x73d951 0x73d958
盘古穿戴触发	4	0x100ad8d1 0x100ad91d 0x100adac7 0x100adb05	memcpy tramp2	0x6d8e35 0x6d8e4d 0x6d8e52
盘古高级属性	6	0x100aede2 0x100aee1c 0x100aee46 0x100aefad 0x100aefe7 0x100af021	memcpy tramp2	0x6ba718 0x6ba71d 0x6ba72d 0x6f9ab0
盘古魔法攻击触发	4	0x100addbf 0x100ade0e 0x100adfbe 0x100adffc	memcpy tramp2	0x76dec0 0x76dec7 0x76e1af
禁止交易地图	2	0x100aaa69 0x100aab1b	memcpy tramp2	0x6c3f00 0x6c3f05
禁止发言不提示	6	0x100db803 0x100db83a 0x100db874 0x100db981 0x100db9b8 0x100db9f2	memcpy	0x6bb5cd 0x6bb625 0x6c94a9
禁止宝宝休息	2	0x100aabb6 0x100aac71	memcpy tramp2	0x623a73 0x623a7a
禁止装备自动绑定	2	0x100d383b 0x100d390a	memcpy tramp1	0x784351 0x784358
移动速度	2	0x100d2938 0x100d29f9	memcpy tramp1	0x73d983
穿人穿怪	4	0x100aa8b2 0x100aa8ec 0x100aa99e 0x100aa9d8	memcpy	0x6b30a3 0x768454
脚本控制人物爆率	6	0x100b99d9 0x100b9a35 0x100b9a6c 0x100b9b32 0x100b9b69 0x100b9ba0	memcpy tramp2	0x6df2cc 0x73d578 0x73dac5
脚本控制头发外显	2	0x100aeb28 0x100aebd1	memcpy tramp2	0x740f85 0x740f8a
英雄倍攻和暴击	2	0x100d49b4 0x100d4af9	memcpy tramp1	0x76c816 0x76c81d
英雄攻速移速	2	0x100d46e3 0x100d47a5	memcpy tramp1	0x73da43 0x73da4c
英雄施法速度	2	0x100d50ed 0x100d51a1	memcpy tramp1	0x68dd60 0x68dd65
英雄穿戴触发	4	0x100d4417 0x100d4469 0x100d4633 0x100d4674	memcpy tramp1	0x75ea31 0x75ea37 0x75f08c 0x75f093
获取玩家对象函数	8	0x100b9595 0x100b95c9 0x100b9600 0x100b9637 0x100b9833 0x100b986a 0x100b98a1 0x100b98d8	memcpy	0x646f40 0x647d24 0x736b28 0x736ef8
行会显示	4	0x100aacef 0x100aad29 0x100aadc0 0x100aadfa	memcpy	0x6c5bcb 0x6c5bf7
被击杀触发	2	0x100d26fd 0x100d282c	memcpy tramp1	0x766624 0x766629
装备吸血	2	0x100b92fd 0x100b93af	memcpy tramp2	0x76e2a3
装备提升人物爆率	2	0x100b9f9e 0x100ba0ae	memcpy tramp2	0x71fd37 0x71fd3d
装备来源	4	0x100d569e 0x100d56f0 0x100d57bc 0x100d57fa	memcpy tramp1	0x6c8aaa 0x6c8aaf 0x71fe90 0x71fe95
设置玩家称号函数_支持80字符	2	0x100b4b98 0x100b4cc8	memcpy	0x6df754
读取英雄装备	2	0x100d533d 0x100d53e8	memcpy tramp1	0x6e04e7
逐日剑法	2	0x100b4750 0x100b4787	memcpy	0x76b13e 0x76b14c
邮件防刷	2	0x100aa60e 0x100aa6c0	memcpy tramp2	0x6e7810 0x6e7815
野蛮等级	2	0x100db11c 0x100db1d7	memcpy tramp1	0x768f67
野蛮麻痹	2	0x100b381e 0x100b38ca	memcpy tramp2	0x6bc9e2
防0拆分	2	0x100aa765 0x100aa819	memcpy tramp2	0x6e0ff3 0x6e0ff9
随身仓库	6	0x100a9bc2 0x100a9bf9 0x100a9c33 0x100a9d2c 0x100a9d63 0x100a9d9d	memcpy	0x6c2ab9 0x6c2dc9 0x6e087c
雷电主属性切换	2	0x100d9aa5 0x100d9b7d	memcpy tramp1	0x76ea8a 0x76ea98
雷电带毒	2	0x100b2bc6 0x100b2c7b	memcpy tramp2	0x76eb1d
雷电自定义范围	2	0x100d9d45 0x100d9e07	memcpy tramp1	0x76eb06
魔法攻击触发	2	0x100d2f0b 0x100d305f	memcpy tramp1	0x76de84 0x76de8a
麻痹概率	2	0x100d3e8a 0x100d3f3f	memcpy tramp1	0x76e2d2 0x76e2d7
