key	value	prod_on	page	page_src	widget	state	n_sites	behavior_files	api_members	patch_target_vas	dump_str_va	dump_xrefs
冰咆哮范围	0	0	配置2	catalog	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenSkillPatches.cs	IsIceStormRange	0x76f300	0x102aff94	2
刀刀切割	0	0	配置1	catalog	toggle	IMPLEMENTED	11	GameSvr/Plugins/YanshenCommands.cs;GameSvr/Plugins/YanshenTriggerDispatch.cs;GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	DirectAttack;IsCuttingEnabled	0x767bae	0x102afcac	2
切换暴击报文	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	6		IsSwitchCritMsg;IsSwitchCritMsgEnabled		0x102b02d4	2
删除技能不提示	1	1	配置2	catalog	toggle	LABEL_ONLY	7		IsDelSkillSilent;ShouldDelSkillSilent	0x6c7797	0x102afff0	2
删除英雄技能	0	0	盘古2	panel	toggle	LABEL_ONLY	7		IsDelHeroSkill;IsDelHeroSkillEnabled		0x102b0254	2
刺杀剑术	1	1	盘古2	panel	toggle	IMPLEMENTED	8	GameSvr/Actors/TBaseObject.Attack.cs	IsStabSword	0x771c25 0x771c50 0x771d24	0x102b0694	2
刺杀剑术_A值	"1"	1	盘古2	panel	value	IMPLEMENTED	3	GameSvr/Actors/TBaseObject.Attack.cs	StabSwordA		0x102b0818	3
刺杀剑术_B值	"5"	1	盘古2	panel	value	IMPLEMENTED	4	GameSvr/Actors/TBaseObject.Attack.cs	StabSwordB		0x102b0868	3
千分比免伤	0	0	配置1	catalog	toggle	LABEL_ONLY	4		IsDmgReduction		0x102afe58	3
千分比经验倍数	0	0	眼神2(第2页)	panel	toggle	LABEL_ONLY	4		IsExpMultiplier		0x102b1620	2
升级技能不提示	1	1	配置2	catalog	toggle	IMPLEMENTED	7	GameSvr/Command/Commands/ChgHeroSkillCommand.cs;GameSvr/Command/Commands/TrainingMagicCommand.cs	IsUpSkillSilentPatchOn;ShouldUpSkillSilent	0x73f5ee	0x102b0000	2
半月带毒	0	0	盘古2	panel	toggle	IMPLEMENTED	4	GameSvr/Plugins/YanshenPoisonKeys.cs	IsHalfMoonPoison	0x7720fb	0x102b0590	2
半月弯刀	1	1	盘古2	panel	toggle	IMPLEMENTED	8	GameSvr/Actors/TBaseObject.Attack.cs	IsHalfMoon	0x772046 0x772148	0x102b06a0	2
半月弯刀_A值	"2"	1	盘古2	panel	value	IMPLEMENTED	10	GameSvr/Actors/TBaseObject.Attack.cs	HalfMoonA		0x102b0828	3
半月弯刀_B值	"15"	1	盘古2	panel	value	IMPLEMENTED	4	GameSvr/Actors/TBaseObject.Attack.cs	HalfMoonB		0x102b0878	3
双毒时间_最低	5	1	配置2	catalog-param	value	LABEL_ONLY	4		DualPoisonMin		0x102b0a08	3
召唤神兽	0	0	盘古1	catalog	toggle	IMPLEMENTED	8	GameSvr/Spells/MagicManager.cs	IsSummonShenShou	0x76ee99 0x76eeec	0x102b036c	2
召唤神兽触发	0	0	盘古1	panel	toggle	IMPLEMENTED	9	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsShenShouTrigger;IsShenShouTriggerEnabled	0x6edc5e	0x102b0518	2
召唤骷髅	1	1	盘古1	catalog	toggle	IMPLEMENTED	8	GameSvr/Spells/MagicManager.cs	IsSummonKuLou	0x76ee1f	0x102b0378	2
召唤骷髅_数量	1	1	盘古1	panel	value	LABEL_ONLY	4		NativeSlaveCountImm8		0x102b0a30	2
召唤骷髅触发	0	0	盘古1	panel	toggle	IMPLEMENTED	9	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsKuLouTrigger;IsKuLouTriggerEnabled	0x6edb44	0x102b0508	2
名字变色	1	1	盘古2	panel	toggle	LABEL_ONLY	9		IsNameColor		0x102b0264	2
嗜血术倍数	0	0	配置2	catalog	toggle	IMPLEMENTED	6	GameSvr/Plugins/YanshenSkillPatches.cs	IsBloodSuck	0x76fc2b	0x102affbc	2
嗜血术范围	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	5		IsBloodRange		0x102b028c	2
噬魂沼泽绿毒修复	1	1	盘古2	panel	toggle	IMPLEMENTED	4	GameSvr/Plugins/YanshenPoisonKeys.cs	IsZhaoZeFix	0x691e2e	0x102b0558	2
回城按钮触发	0	0	盘古1	panel	toggle	IMPLEMENTED	8	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsReturnBtnTrigger	0x6dbb80	0x102b04b4	2
土城摆摊	0	0	盘古1	catalog	toggle	LABEL_ONLY	6		IsTuChengStall	0x6e7930 0x6e7c1c 0x6e7c5f	0x102b0348	2
地狱雷光可换主属性	0	0	配置2	catalog	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenSkillPatches.cs	IsHellLightSwitch	0x76f5fb	0x102afef8	2
地狱雷光系数	0	0	配置2	catalog	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenSkillPatches.cs	IsHellLightFactor	0x76f61a	0x102afeb0	2
地狱雷光范围	0	0	配置2	catalog	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenSkillPatches.cs	IsHellLightRange	0x76f63d	0x102afec0	2
地面物品消失时间	1	1	盘古1	catalog	toggle	IMPLEMENTED	10	GameSvr/Actors/TBaseObject.ViewRange.cs	IsFloorItemTimeout;TryGetFloorItemTimeout	0x77a3ff	0x102b0418	2
地面物品消失时间_时间	150	1	盘古1	panel	value	IMPLEMENTED	11	GameSvr/Actors/TBaseObject.ViewRange.cs	FloorItemTimeoutSec;TryGetFloorItemTimeout		0x102b0a54	3
基本剑术	1	1	盘古2	panel	toggle	IMPLEMENTED	6	GameSvr/Actors/TBaseObject.cs	IsOneSword	0x76af96 0x76afa9	0x102b06c4	2
基本剑术_n值	"3"	1	盘古2	panel	value	IMPLEMENTED	2	GameSvr/Actors/TBaseObject.cs	OneSwordN		0x102b0858	3
复活戒指改cd	0	0	配置1	catalog	toggle	LABEL_ONLY	7		IsReviveCD;IsReviveCDEnabled	0x73c47a 0x73c4f2 0x743751	0x102afce0	2
复活戒指概率	0	0	配置1	catalog	toggle	LABEL_ONLY	7		IsReviveChance;IsReviveChanceEnabled	0x74373a	0x102afcf0	2
复活戒指重设	0	0	盘古2	panel	toggle	IMPLEMENTED	8	GameSvr/Actors/TBaseObject.NativeRevive.cs	IsReviveReset;IsReviveResetEnabled;IsReviveResetPatchOn	0x73c480 0x743758	0x102b05a8	2
复活戒指重设_无敌时间	0	0	盘古2	panel	value	IMPLEMENTED	7	GameSvr/Actors/TBaseObject.NativeRevive.cs	IsReviveImmune;IsReviveImmuneEnabled;ReviveResetImmuneSeconds		0x102b0adc	3
复活戒指重设_重设时间	0	0	盘古2	panel	value	IMPLEMENTED	7	GameSvr/Actors/TBaseObject.NativeRevive.cs	IsReviveResetTime;IsReviveResetTimeEnabled;ReviveResetCooldownMs		0x102b0ac4	3
复活触发脚本	0	0	配置1	catalog	toggle	IMPLEMENTED	6	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsReviveScript	0x73c484	0x102afcd0	2
多元伤害	0	0	扩展/技能相关	fallback	toggle	LABEL_ONLY	2		IsMultiDmg		0x102b1694	2
大背包	0	0	扩展/物品相关	fallback	toggle	SCRIPT_ONLY	8	GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	IsBigBag;SwitchBigBag		0x102b0178	2
头盔属性几率_准确_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetAttrChance_Acc	0x7612d2	0x102b0f44	3
头盔属性几率_攻击_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetAttrChance_Atk	0x761237	0x102b0e24	3
头盔属性几率_攻速_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetAttrChance_Spd	0x7612af	0x102b0efc	3
头盔属性几率_道术_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetAttrChance_Tao	0x76128c	0x102b0eb4	3
头盔属性几率_魔法_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetAttrChance_Mgc	0x761269	0x102b0e6c	3
头盔最随机性_极品_值	"80"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetRandExtreme	0x7611fb	0x102b0f5c	3
头盔最高点数_准确_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetMaxPts_Acc	0x7612c6	0x102b0f14	3
头盔最高点数_攻击_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetMaxPts_Atk	0x76122b	0x102b0df4	3
头盔最高点数_攻速_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetMaxPts_Spd	0x7612a3	0x102b0ecc	3
头盔最高点数_道术_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetMaxPts_Tao	0x761280	0x102b0e84	3
头盔最高点数_魔法_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetMaxPts_Mgc	0x76125d	0x102b0e3c	3
头盔点数几率_准确_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetPtsChance_Acc	0x7612c1	0x102b0f2c	3
头盔点数几率_攻击_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetPtsChance_Atk	0x761226	0x102b0e0c	3
头盔点数几率_攻速_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetPtsChance_Spd	0x76129e	0x102b0ee4	3
头盔点数几率_道术_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetPtsChance_Tao	0x76127b	0x102b0e9c	3
头盔点数几率_魔法_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	HelmetPtsChance_Mgc	0x761258	0x102b0e54	3
安全区禁止丢物	1	1	盘古1	catalog	toggle	IMPLEMENTED	8	GameSvr/Actors/HeroObject.cs;GameSvr/Players/TPlayObject.Operate.cs	IsDropAllowed;IsSafeNoDrop	0x73cc98	0x102b03a0	2
宝宝叛变属性a	0	0	扩展/角色相关	fallback	toggle	LABEL_ONLY	3		IsPetRebelAttr;IsPetRebelAttrEnabled		0x102b00f8	2
宝宝自动叛变	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	6		IsPetAutoRebel;IsPetAutoRebelEnabled		0x102b022c	3
宠物吸血a	0	0	扩展/角色相关	fallback	toggle	LABEL_ONLY	3		IsPetVampire;IsPetVampireEnabled		0x102b0118	2
屏蔽元宝增减信息	0	0	盘古1	catalog	toggle	LABEL_ONLY	5		IsHideGoldMsg;ShouldHideGoldMsg	0x6f8288 0x6f82c5 0x6f8b25 0x6f8b62 0x6f8bcf 0x6f8c02 0x6f9002 0x6f9047	0x102b0468	2
屏蔽元宝数据库日志	0	0	盘古1	panel	toggle	LABEL_ONLY	7		IsHideGoldLog;ShouldHideGoldLog	0x70f6dc	0x102b0674	2
屏蔽发言频繁禁言功能	1	1	盘古1	catalog	toggle	IMPLEMENTED	4	GameSvr/Players/TPlayObject.Chat.cs	IsBlockSpamPatchOn	0x6bb56a 0x6bb579	0x102b0450	2
屏蔽属性提升提示	1	1	盘古1	catalog	toggle	LABEL_ONLY	5		IsHideAttrUp;ShouldHideAttrUp	0x741a21 0x741a5c 0x741a97 0x741ad2 0x741b0d 0x741b48 0x741b83 0x741bbe 0x741bf9 0x741c34 0x741c6f 0x741caa 0x741ce5 0x741d20 0x741d5b 0x741dfd 0x74281d 0x742835 0x74284d 0x742865 0x74287d 0x742895 0x7428ad 0x7428c5 0x7428dd 0x74290d 0x742925 0x74293d 0x742955 0x74296d 0x74298c	0x102b043c	2
屏蔽排行榜	0	0	盘古3	panel	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenHideRank.cs	IsHideRank;ShouldHideRank	0x6cba88	0x102b070c	2
屏蔽自动绑定	1	1	盘古4	panel	toggle	SCRIPT_ONLY	9	GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	GiveItemBind;IsAutoBindOff	0x74dc57 0x74dd59 0x74ddc3 0x74ddef	0x102b072c	2
循环时间_值	2000	1	眼神2(第2页)	panel	value	IMPLEMENTED	6	GameSvr/Plugins/YanshenRecycleDriver.cs	IsLoopTimeVal;IsLoopTimeValEnabled		0x102b1488	3
心灵启示触发	0	0	盘古1	panel	toggle	IMPLEMENTED	7	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsMindRevealTrigger	0x6edc2b	0x102b0528	2
怪物名字1_值	"强化神兽"	1	盘古3	panel	value	IMPLEMENTED	4	GameSvr/Spells/MagicManager.cs	IsCustomDmgPlus;MonsterName1		0x102b14c4	3
怪物名字2_值	"强化神兽"	1	盘古3	panel	value	IMPLEMENTED	4	GameSvr/Spells/MagicManager.cs	IsCustomDmgPlus;MonsterName2		0x102b14d4	3
怪物名字3_值	"白虎"	1	盘古3	panel	value	IMPLEMENTED	4	GameSvr/Spells/MagicManager.cs	IsCustomDmgPlus;MonsterName3		0x102b14e4	3
怪物数量1_值	1	1	盘古3	panel	value	IMPLEMENTED	7	GameSvr/Spells/MagicManager.cs	IsCustomDmgPlus;MonsterCount1;MonsterName3		0x102b14f4	3
怪物数量2_值	2	1	盘古3	panel	value	IMPLEMENTED	4	GameSvr/Spells/MagicManager.cs	IsCustomDmgPlus;MonsterCount2		0x102b1504	3
怪物数量3_值	1	1	盘古3	panel	value	IMPLEMENTED	4	GameSvr/Spells/MagicManager.cs	IsCustomDmgPlus;MonsterCount3		0x102b1514	3
怪物爆率A_值	0	0	眼神2(第2页)	panel	value	LABEL_ONLY	5		IsMonsterDropA		0x102b1458	3
怪物爆率B_值	0	0	眼神2(第2页)	panel	value	LABEL_ONLY	3		IsMonsterDropB		0x102b1468	3
怪物爆率K_值	0	0	眼神2(第2页)	panel	value	LABEL_ONLY	3		IsMonsterDropK		0x102b1478	3
戒指属性几率_准确_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingAttrChance_Acc	0x761dba	0x102b13c4	3
戒指属性几率_攻击_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingAttrChance_Atk	0x761d2e	0x102b12a4	3
戒指属性几率_攻速_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingAttrChance_Spd	0x761d97	0x102b137c	3
戒指属性几率_道术_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingAttrChance_Tao	0x761d74	0x102b1334	3
戒指属性几率_魔法_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingAttrChance_Mgc	0x761d51	0x102b12ec	3
戒指最随机性_极品_值	"80"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingRandExtreme	0x761cf0	0x102b13dc	3
戒指最高点数_准确_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingMaxPts_Acc	0x761dae	0x102b1394	3
戒指最高点数_攻击_值	""	0	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingMaxPts_Atk	0x761d22	0x102b1274	3
戒指最高点数_攻速_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingMaxPts_Spd	0x761d8b	0x102b134c	3
戒指最高点数_道术_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingMaxPts_Tao	0x761d68	0x102b1304	3
戒指最高点数_魔法_值	""	0	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingMaxPts_Mgc	0x761d45	0x102b12bc	3
戒指点数几率_准确_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingPtsChance_Acc	0x761da9	0x102b13ac	3
戒指点数几率_攻击_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingPtsChance_Atk	0x761d1d	0x102b128c	3
戒指点数几率_攻速_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingPtsChance_Spd	0x761d86	0x102b1364	3
戒指点数几率_道术_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingPtsChance_Tao	0x761d63	0x102b131c	3
戒指点数几率_魔法_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	RingPtsChance_Mgc	0x761d40	0x102b12d4	3
战士合击	1	1	盘古3	panel	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenComboTables.cs	IsWarriorCombo;IsWarriorComboEnabled	0x7d341c 0x7d3420	0x102b06f4	2
战士合击_数值1	"1.5"	1	盘古3	panel	value	IMPLEMENTED	3	GameSvr/Plugins/YanshenComboTables.cs	WarriorComboMultiplier;WarriorComboV1		0x102b08e8	3
战士合击_数值2	"2"	1	盘古3	panel	value	IMPLEMENTED	3	GameSvr/Plugins/YanshenComboTables.cs	WarriorComboMultiplier;WarriorComboV2		0x102b08f8	3
战士合击_数值3	"2.4"	1	盘古3	panel	value	IMPLEMENTED	3	GameSvr/Plugins/YanshenComboTables.cs	WarriorComboMultiplier;WarriorComboV3		0x102b0908	3
战士合击_数值4	"2.6"	1	盘古3	panel	value	IMPLEMENTED	3	GameSvr/Plugins/YanshenComboTables.cs	WarriorComboMultiplier;WarriorComboV4		0x102b0918	3
战士合击_数值5	"2.8"	1	盘古3	panel	value	IMPLEMENTED	3	GameSvr/Plugins/YanshenComboTables.cs	WarriorComboMultiplier;WarriorComboV5		0x102b0928	3
战队职业限制	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	9		IsGamePartnerLimit;IsGamePartnerLimitEnabled		0x102b1548	2
手镯属性几率_准确_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletAttrChance_Acc	0x7626b2	0x102b1244	3
手镯属性几率_攻击_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletAttrChance_Atk	0x762626	0x102b1124	3
手镯属性几率_攻速_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletAttrChance_Spd	0x76268f	0x102b11fc	3
手镯属性几率_道术_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletAttrChance_Tao	0x76266c	0x102b11b4	3
手镯属性几率_魔法_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletAttrChance_Mgc	0x762649	0x102b116c	3
手镯最随机性_极品_值	"80"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletRandExtreme	0x7625e8	0x102b125c	3
手镯最高点数_准确_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletMaxPts_Acc	0x7626a6	0x102b1214	3
手镯最高点数_攻击_值	""	0	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletMaxPts_Atk	0x76261a	0x102b10f4	3
手镯最高点数_攻速_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletMaxPts_Spd	0x762683	0x102b11cc	3
手镯最高点数_道术_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletMaxPts_Tao	0x762660	0x102b1184	3
手镯最高点数_魔法_值	""	0	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletMaxPts_Mgc	0x76263d	0x102b113c	3
手镯点数几率_准确_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletPtsChance_Acc	0x7626a1	0x102b122c	3
手镯点数几率_攻击_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletPtsChance_Atk	0x762615	0x102b110c	3
手镯点数几率_攻速_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletPtsChance_Spd	0x76267e	0x102b11e4	3
