site_va	kind	arm	label	target_va	span_end	span_len	status_literal	conservative_hosts
0x100acb67	memcpy	REVERT	屏蔽元宝增减信息	0x6f9047	0x6f9049	2	屏蔽元宝增减信息(未启动)	0x6f9047
0x100acba1	memcpy	REVERT	屏蔽元宝增减信息	0x6f8bcf	0x6f8bd6	7	屏蔽元宝增减信息(未启动)	0x6f8bcf
0x100acbd8	memcpy	REVERT	屏蔽元宝增减信息	0x6f8c02	0x6f8c09	7	屏蔽元宝增减信息(未启动)	0x6f8c02
0x100acc15	memcpy	REVERT	屏蔽元宝增减信息	0x6f8b25	0x6f8b28	3	屏蔽元宝增减信息(未启动)	0x6f8b25
0x100acc52	memcpy	REVERT	屏蔽元宝增减信息	0x6f8b62	0x6f8b65	3	屏蔽元宝增减信息(未启动)	0x6f8b62
0x100acc8f	memcpy	REVERT	屏蔽元宝增减信息	0x6f8288	0x6f828b	3	屏蔽元宝增减信息(未启动)	0x6f8288
0x100acccc	memcpy	REVERT	屏蔽元宝增减信息	0x6f82c5	0x6f82c8	3	屏蔽元宝增减信息(未启动)	0x6f82c5
0x100acd37	memcpy	APPLY	屏蔽元宝数据库日志	0x70f6dc	0x70f6dd	1	屏蔽元宝数据库日志(已启动)	0x70f6dc
0x100acdbb	memcpy	REVERT	屏蔽元宝数据库日志	0x70f6dc	0x70f6dd	1	屏蔽元宝数据库日志(未启动)	0x70f6dc
0x100acec7	memcpy	APPLY	指定地图编号摆摊	0x6e7930	0x6e7934	4	指定地图编号摆摊(已启动)	0x6e7930
0x100acf06	memcpy	APPLY	指定地图编号摆摊	0x6e7934	-	-	指定地图编号摆摊(已启动)	0x6e7934
0x100acf40	memcpy	APPLY	指定地图编号摆摊	0x6e7c5f	0x6e7c61	2	指定地图编号摆摊(已启动)	0x6e7c5f
0x100acf7a	memcpy	APPLY	指定地图编号摆摊	0x6e7c1c	0x6e7c26	10	指定地图编号摆摊(已启动)	0x6e7c1c
0x100ad04b	memcpy	REVERT	指定地图编号摆摊	0x6e7930	0x6e7938	8	指定地图编号摆摊(未启动)	0x6e7930
0x100ad085	memcpy	REVERT	指定地图编号摆摊	0x6e7c1c	0x6e7c26	10	指定地图编号摆摊(未启动)	0x6e7c1c
0x100ad0bf	memcpy	REVERT	指定地图编号摆摊	0x6e7c5f	0x6e7c61	2	指定地图编号摆摊(未启动)	0x6e7c5f
0x100ad12a	memcpy	APPLY	关闭摆摊	0x6e7c38	0x6e7c39	1	关闭摆摊(已关闭)	0x6e7c38
0x100ad1ae	memcpy	REVERT	关闭摆摊	0x6e7c38	0x6e7c39	1	关闭摆摊(未关闭)	0x6e7c38
0x100ad427	tramp2	APPLY	死亡触发	0x6c09b5	0x6c09ba	5	死亡触发(已启动)	0x6c09b5
0x100ad555	memcpy	REVERT	死亡触发	0x6c09b5	0x6c09ba	5	死亡触发(未启动)	0x6c09b5
0x100ad628	tramp2	APPLY	回城按钮触发	0x6dbb80	0x6dbb85	5	回城按钮触发(已启动)	0x6dbb80 0x6dbb85
0x100ad768	memcpy	REVERT	回城按钮触发	0x6dbb80	0x6dbb85	5	回城按钮触发(未启动)	0x6dbb80
0x100ad8d1	tramp2	APPLY	盘古穿戴触发	0x6d8e35	0x6d8e3a	5	盘古穿戴触发(已启动)	-
0x100ad91d	tramp2	APPLY	盘古穿戴触发	0x6d8e4d	0x6d8e52	5	盘古穿戴触发(已启动)	0x6d8e4d 0x6d8e52
0x100adac7	memcpy	REVERT	盘古穿戴触发	0x6d8e35	0x6d8e3a	5	盘古穿戴触发(未启动)	0x6d8e35
0x100adb05	memcpy	REVERT	盘古穿戴触发	0x6d8e4d	0x6d8e52	5	盘古穿戴触发(未启动)	0x6d8e4d
0x100addbf	tramp2	APPLY	盘古魔法攻击触发	0x76e1af	0x76e1b6	7	盘古魔法攻击触发(已启动)	-
0x100ade0e	tramp2	APPLY	盘古魔法攻击触发	0x76dec0	0x76dec7	7	盘古魔法攻击触发(已启动)	0x76dec0 0x76dec7
0x100adfbe	memcpy	REVERT	盘古魔法攻击触发	0x76e1af	0x76e1b6	7	盘古魔法攻击触发(未启动)	0x76e1af
0x100adffc	memcpy	REVERT	盘古魔法攻击触发	0x76dec0	0x76dec7	7	盘古魔法攻击触发(未启动)	0x76dec0
0x100ae0e1	tramp2	APPLY	挖矿触发	0x6ec111	0x6ec116	5	挖矿触发(已启动)	0x6ec111
0x100ae20f	memcpy	REVERT	挖矿触发	0x6ec111	0x6ec116	5	挖矿触发(未启动)	0x6ec111
0x100ae2f6	tramp2	APPLY	召唤骷髅触发	0x6edb44	0x6edb49	5	召唤骷髅触发(已启动)	0x6edb44 0x6edb49
0x100ae438	memcpy	REVERT	召唤骷髅触发	0x6edb44	0x6edb49	5	召唤骷髅触发(未启动)	0x6edb44
0x100ae51f	tramp2	APPLY	召唤神兽触发	0x6edc5e	0x6edc63	5	召唤神兽触发(已启动)	0x6edc5e 0x6edc63
0x100ae668	memcpy	REVERT	召唤神兽触发	0x6edc5e	0x6edc63	5	召唤神兽触发(未启动)	0x6edc5e
0x100ae7f5	tramp2	APPLY	心灵启示触发	0x6edc2b	0x6edc30	5	心灵启示触发(已启动)	-
0x100ae93d	memcpy	REVERT	心灵启示触发	0x6edc2b	0x6edc30	5	心灵启示触发(未启动)	0x6edc2b
0x100aeb28	tramp2	APPLY	脚本控制头发外显	0x740f85	0x740f8a	5	脚本控制头发外显(已启动)	0x740f85 0x740f8a
0x100aebd1	memcpy	REVERT	脚本控制头发外显	0x740f85	0x740f8a	5	脚本控制头发外显(未启动)	0x740f85
0x100aede2	memcpy	APPLY	盘古高级属性	0x6ba72d	0x6ba741	20	盘古高级属性(已启动)	0x6ba72d
0x100aee1c	memcpy	APPLY	盘古高级属性	0x6f9ab0	0x6f9adb	43	盘古高级属性(已启动)	0x6f9ab0
0x100aee46	tramp2	APPLY	盘古高级属性	0x6ba718	0x6ba71d	5	盘古高级属性(已启动)	0x6ba718 0x6ba71d
0x100aefad	memcpy	REVERT	盘古高级属性	0x6ba718	0x6ba71d	5	盘古高级属性(未启动)	0x6ba718
0x100aefe7	memcpy	REVERT	盘古高级属性	0x6ba72d	0x6ba744	23	盘古高级属性(未启动)	0x6ba72d
0x100af021	memcpy	REVERT	盘古高级属性	0x6f9ab0	0x6f9adb	43	盘古高级属性(未启动)	0x6f9ab0
0x100b2199	tramp2	APPLY	武器绿毒	0x76e2bc	0x76e2c3	7	武器绿毒(已启动)	-
0x100b224e	memcpy	REVERT	武器绿毒	0x76e2bc	0x76e2c3	7	武器绿毒(未启动)	0x76e2bc
0x100b2468	tramp2	APPLY	噬魂沼泽绿毒修复	0x691e2e	0x691e34	6	噬魂沼泽绿毒修复(已启动)	0x691e2e
0x100b2516	memcpy	REVERT	噬魂沼泽绿毒修复	0x691e2e	0x691e34	6	噬魂沼泽绿毒修复(未启动)	0x691e2e
0x100b26d5	tramp2	APPLY	物功带毒	0x76e2bc	0x76e2c3	7	物功带毒(已启动)	-
0x100b278a	memcpy	REVERT	物功带毒	0x76e2bc	0x76e2c3	7	物功带毒(未启动)	0x76e2bc
0x100b2959	tramp2	APPLY	法师群毒	0x76e1a9	0x76e1af	6	法师群毒(已启动)	-
0x100b2a07	memcpy	REVERT	法师群毒	0x76e1a9	0x76e1af	6	法师群毒(未启动)	0x76e1a9
0x100b2bc6	tramp2	APPLY	雷电带毒	0x76eb1d	0x76eb24	7	雷电带毒(已启动)	-
0x100b2c7b	memcpy	REVERT	雷电带毒	0x76eb1d	0x76eb24	7	雷电带毒(未启动)	0x76eb1d
0x100b2e4a	tramp2	APPLY	半月带毒	0x7720fb	0x772101	6	半月带毒(已启动)	-
0x100b2ef8	memcpy	REVERT	半月带毒	0x7720fb	0x772101	6	半月带毒(未启动)	0x7720fb
0x100b381e	tramp2	APPLY	野蛮麻痹	0x6bc9e2	0x6bc9e7	5	野蛮麻痹(已启动)	0x6bc9e2
0x100b38ca	memcpy	REVERT	野蛮麻痹	0x6bc9e2	0x6bc9e7	5	野蛮麻痹(未启动)	0x6bc9e2
0x100b39b3	tramp2	APPLY	火墙设置时间上限	0x7706b6	0x7706bc	6	火墙设置时间上限(已启动)	0x7706b6 0x7706bc
0x100b3a61	memcpy	REVERT	火墙设置时间上限	0x7706b6	0x7706bc	6	火墙设置时间上限(未启动)	0x7706b6
0x100b417c	memcpy	APPLY	刺杀剑术	0x771c25	0x771c27	2	刺杀剑术(已重设)	0x771c25
0x100b45a3	memcpy	APPLY	烈火剑法	0x76b0ec	0x76b0ef	3	烈火剑法(已重设)	0x76b0ec
0x100b45da	memcpy	APPLY	烈火剑法	0x77231d	0x77231f	2	烈火剑法(已重设)	0x77231d
0x100b4750	memcpy	APPLY	逐日剑法	0x76b14c	0x76b152	6	逐日剑法(已重设)	0x76b14c
0x100b4787	memcpy	APPLY	逐日剑法	0x76b13e	0x76b140	2	逐日剑法(已重设)	0x76b13e
0x100b49d9	memcpy	APPLY	基本剑术	0x76af96	0x76af99	3	基本剑术(已重设)	0x76af96
0x100b4a10	memcpy	APPLY	基本剑术	0x76afa9	0x76afaf	6	基本剑术(已重设)	0x76afa9
0x100b4b98	memcpy	APPLY	设置玩家称号函数_支持80字符	0x6df754	0x6df799	69	设置玩家称号函数_支持80字符(已启动)	0x6df754
0x100b4cc8	memcpy	REVERT	设置玩家称号函数_支持80字符	0x6df754	0x6df799	69	设置玩家称号函数_支持80字符(未启动)	0x6df754
0x100b4d4c	memcpy	APPLY	ServerSay函数	0x728913	0x72891f	12	ServerSay函数(已启动)	0x728913
0x100b4de1	memcpy	REVERT	ServerSay函数	0x728913	0x72891f	12	ServerSay函数(未启动)	0x728913
0x100b8581	memcpy	APPLY	施毒术	0x76e599	0x76e5b8	31	施毒术(已重设)	0x76e599
0x100b8776	tramp2	APPLY	中毒时间上限	0x76e675	0x76e67a	5	中毒时间上限(已重设)	-
0x100b87bf	tramp2	APPLY	中毒时间上限	0x76e5ce	0x76e5d3	5	中毒时间上限(已重设)	0x76e5ce 0x76e5d3
0x100b88b5	memcpy	REVERT	中毒时间上限	0x76e675	0x76e67a	5	中毒时间上限(待重设)	0x76e675
0x100b88f0	memcpy	REVERT	中毒时间上限	0x76e5ce	0x76e5d3	5	中毒时间上限(待重设)	0x76e5ce
0x100b91a8	memcpy	APPLY	屏蔽排行榜	0x6cba88	0x6cba89	1	屏蔽排行榜(已启动)	0x6cba88
0x100b9226	memcpy	REVERT	屏蔽排行榜	0x6cba88	0x6cba89	1	屏蔽排行榜(未启动)	0x6cba88
0x100b92fd	tramp2	APPLY	装备吸血	0x76e2a3	0x76e2a9	6	装备吸血(已启动)	0x76e2a3
0x100b93af	memcpy	REVERT	装备吸血	0x76e2a3	0x76e2a9	6	装备吸血(未启用)	0x76e2a3
0x100b9595	memcpy	APPLY	获取玩家对象函数	0x646f40	0x646f88	72	获取玩家对象函数(已启动)	0x646f40
0x100b95c9	memcpy	APPLY	获取玩家对象函数	0x647d24	0x647d78	84	获取玩家对象函数(已启动)	0x647d24
